ENSRNOG00000000645	3476
ENSRNOG00000000648	5775
ENSRNOG00000000653	0
ENSRNOG00000000655	231
ENSRNOG00000000657	3498
ENSRNOG00000000658	130
ENSRNOG00000000661	803
ENSRNOG00000000662	319
ENSRNOG00000000663	1064
ENSRNOG00000000664	589
ENSRNOG00000000665	3673
ENSRNOG00000000691	0
ENSRNOG00000000692	84
ENSRNOG00000000693	5993
ENSRNOG00000000695	1440
ENSRNOG00000000697	4209
ENSRNOG00000000699	1051
ENSRNOG00000000700	461
ENSRNOG00000000701	1670
ENSRNOG00000000702	1617
ENSRNOG00000000704	239
ENSRNOG00000000708	5031
ENSRNOG00000000713	170
ENSRNOG00000000715	2
ENSRNOG00000000716	23
ENSRNOG00000000718	2165
ENSRNOG00000000720	614
ENSRNOG00000000726	0
ENSRNOG00000000728	84
ENSRNOG00000000729	514
ENSRNOG00000000746	0
ENSRNOG00000000759	0
ENSRNOG00000000763	353
ENSRNOG00000000765	0
ENSRNOG00000000767	2
ENSRNOG00000000768	2
ENSRNOG00000000774	41674
ENSRNOG00000000775	956
ENSRNOG00000000777	0
ENSRNOG00000000778	162
ENSRNOG00000000779	222
ENSRNOG00000000780	2641
ENSRNOG00000000781	706
ENSRNOG00000000782	1
ENSRNOG00000000783	0
ENSRNOG00000000785	0
ENSRNOG00000000786	0
ENSRNOG00000000795	0
ENSRNOG00000000796	13046
ENSRNOG00000000798	5279
ENSRNOG00000000799	4895
ENSRNOG00000000800	3955
ENSRNOG00000000801	404
ENSRNOG00000000802	634
ENSRNOG00000000804	777
ENSRNOG00000000805	16077
ENSRNOG00000000808	1479
ENSRNOG00000000809	2920
ENSRNOG00000000811	150
ENSRNOG00000000814	1817
ENSRNOG00000000815	696
ENSRNOG00000000818	481
ENSRNOG00000000823	4566
ENSRNOG00000000824	371
ENSRNOG00000000825	17
ENSRNOG00000000826	2766
ENSRNOG00000000827	113
ENSRNOG00000000831	181
ENSRNOG00000000833	549
ENSRNOG00000000838	12
ENSRNOG00000000839	362
ENSRNOG00000000840	12041
ENSRNOG00000000841	6125
ENSRNOG00000000842	0
ENSRNOG00000000846	0
ENSRNOG00000000847	1789
ENSRNOG00000000848	598
ENSRNOG00000000850	58
ENSRNOG00000000851	6416
ENSRNOG00000000852	24365
ENSRNOG00000000853	519
ENSRNOG00000000854	1
ENSRNOG00000000855	3
ENSRNOG00000000857	2
ENSRNOG00000000858	49
ENSRNOG00000000860	29
ENSRNOG00000000861	266
ENSRNOG00000000866	1748
ENSRNOG00000000867	1555
ENSRNOG00000000869	354
ENSRNOG00000000871	0
ENSRNOG00000000873	0
ENSRNOG00000000875	2969
ENSRNOG00000000878	5
ENSRNOG00000000879	4403
ENSRNOG00000000885	3959
ENSRNOG00000000886	2117
ENSRNOG00000000888	2220
ENSRNOG00000000889	0
ENSRNOG00000000891	890
ENSRNOG00000000893	903
ENSRNOG00000000894	12376
ENSRNOG00000000895	1272
ENSRNOG00000000896	0
ENSRNOG00000000897	50
ENSRNOG00000000900	1154
ENSRNOG00000000901	6528
ENSRNOG00000000902	12078
ENSRNOG00000000903	442
ENSRNOG00000000904	129
ENSRNOG00000000905	65
ENSRNOG00000000906	486
ENSRNOG00000000907	53
ENSRNOG00000000909	1366
ENSRNOG00000000913	171
ENSRNOG00000000917	99
ENSRNOG00000000918	157
ENSRNOG00000000920	128
ENSRNOG00000000921	6489
ENSRNOG00000000922	279
ENSRNOG00000000923	4707
ENSRNOG00000000924	2826
ENSRNOG00000000925	426
ENSRNOG00000000926	0
ENSRNOG00000000931	2721
ENSRNOG00000000934	3
ENSRNOG00000000936	537
ENSRNOG00000000937	158
ENSRNOG00000000938	7485
ENSRNOG00000000940	4640
ENSRNOG00000000942	2605
ENSRNOG00000000952	0
ENSRNOG00000000954	1776
ENSRNOG00000000955	385
ENSRNOG00000000956	306
ENSRNOG00000000957	4632
ENSRNOG00000000958	5
ENSRNOG00000000961	1057
ENSRNOG00000000962	491
ENSRNOG00000000963	213
ENSRNOG00000000964	8
ENSRNOG00000000967	1650
ENSRNOG00000000968	2716
ENSRNOG00000000969	1
ENSRNOG00000000973	0
ENSRNOG00000000974	678
ENSRNOG00000000975	0
ENSRNOG00000000977	1676
ENSRNOG00000000978	0
ENSRNOG00000000981	1640
ENSRNOG00000000983	345
ENSRNOG00000000985	776
ENSRNOG00000000986	929
ENSRNOG00000000987	494
ENSRNOG00000000988	873
ENSRNOG00000000989	1779
ENSRNOG00000000990	4707
ENSRNOG00000000991	286
ENSRNOG00000000993	0
ENSRNOG00000000994	77
ENSRNOG00000000996	4410
ENSRNOG00000000999	2617
ENSRNOG00000001001	0
ENSRNOG00000001003	1495
ENSRNOG00000001004	6464
ENSRNOG00000001005	2
ENSRNOG00000001006	2223
ENSRNOG00000001007	12
ENSRNOG00000001009	604
ENSRNOG00000001010	5287
ENSRNOG00000001017	0
ENSRNOG00000001027	0
ENSRNOG00000001030	20161
ENSRNOG00000001031	22
ENSRNOG00000001032	1582
ENSRNOG00000001033	930
ENSRNOG00000001034	3586
ENSRNOG00000001035	525
ENSRNOG00000001036	181
ENSRNOG00000001037	795
ENSRNOG00000001039	805
ENSRNOG00000001040	1064
ENSRNOG00000001043	640
ENSRNOG00000001044	603
